specimen,species,stain,filename,section
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1050mandrill63310lg.jpg,1050
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1080mandrill63310lg.jpg,1080
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1110mandrill63310lg.jpg,1110
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1140mandrill63310lg.jpg,1140
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1170mandrill63310lg.jpg,1170
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1200mandrill63310lg.jpg,1200
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/120mandrill63310lg.jpg,120
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1230mandrill63310lg.jpg,1230
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1260mandrill63310lg.jpg,1260
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1290mandrill63310lg.jpg,1290
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1318mandrill63310lg.jpg,1318
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1320mandrill63310lg.jpg,1320
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1350mandrill63310lg.jpg,1350
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1378mandrill63310lg.jpg,1378
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1410mandrill63310lg.jpg,1410
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1440mandrill63310lg.jpg,1440
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1472mandrill63310lg.jpg,1472
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1500mandrill63310lg.jpg,1500
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/150mandrill63310lg.jpg,150
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1530mandrill63310lg.jpg,1530
mandrill,Mandrillus sphinx,nissl,sections/mandrill_nissl/1560mandrill63310lg.jpg,1560
